Webpage,Coreconfig,Govconfig,loadTime,energy
amazon,AllSmall,ii,586.0,836.1316922988187
amazon,AllSmall,ii,568.0,1154.2676268789146
amazon,AllSmall,ii,585.0,616.9570903278245
amazon,AllSmall,ii,636.0,807.173350276278
amazon,AllSmall,ii,552.0,1248.803017121746
amazon,AllSmall,ii,558.0,1069.5612947909622
amazon,AllSmall,ii,554.0,1124.4833500687462
amazon,AllSmall,ii,587.0,937.3834087484142
amazon,AllSmall,ii,590.0,807.8788278217719
amazon,AllSmall,ii,559.0,999.8128264448445
amazon,AllSmall,ii,575.0,850.4503003117647
amazon,AllSmall,ii,595.0,779.7721293705098
amazon,AllSmall,ii,567.0,990.239302626699
amazon,AllSmall,ii,598.0,796.5023584843434
amazon,AllSmall,ii,545.0,1004.3656510557691
amazon,AllSmall,ii,551.0,1153.1591915422707
amazon,AllSmall,ii,599.0,904.6126168807406
amazon,AllSmall,ii,514.0,883.0668812911518
amazon,AllSmall,ii,614.0,850.9564548750981
amazon,AllSmall,ii,576.0,1035.9209533859223
amazon,AllSmall,ii,590.0,966.1468594958877
amazon,AllSmall,ii,583.0,856.5275608533609
amazon,AllSmall,ii,583.0,1168.0242251317648
amazon,AllSmall,ii,552.0,1051.5931428962026
amazon,AllSmall,ii,595.0,756.407692058788
amazon,AllSmall,ii,563.0,868.4282154021391
amazon,AllSmall,ii,553.0,669.1080751285622
amazon,AllSmall,ii,575.0,932.69902633
amazon,AllSmall,ii,607.0,801.3765377048849
amazon,AllSmall,ii,706.0,1016.646561263147
amazon,AllSmall,ii,568.0,794.6100986097982
amazon,AllSmall,ii,567.0,898.6943037015649
amazon,AllSmall,ii,600.0,756.3121536306734
amazon,AllSmall,ii,603.0,978.677105354619
amazon,AllSmall,ii,584.0,994.7228058892915
amazon,AllSmall,ii,612.0,874.2768530548427
amazon,AllSmall,ii,565.0,926.3358955794838
amazon,AllSmall,ii,583.0,1268.0738652192367
amazon,AllSmall,ii,584.0,985.0104639391502
amazon,AllSmall,ii,567.0,1292.6109359499999
amazon,AllSmall,ii,602.0,773.4469799498412
amazon,AllSmall,ii,618.0,890.063128001516
amazon,AllSmall,ii,586.0,1044.5248583328155
amazon,AllSmall,ii,609.0,858.7540878964569
amazon,AllSmall,ii,553.0,1003.8251724596173
amazon,AllSmall,ii,570.0,1004.7672796785112
amazon,AllSmall,ii,556.0,948.1654094755836
amazon,AllSmall,ii,565.0,767.6676752058333
amazon,AllSmall,ii,582.0,877.1873122889809
amazon,AllSmall,ii,581.0,794.0729007884222
amazon,AllSmall,ii,603.0,988.90174903
amazon,AllSmall,ii,589.0,918.533956184591
amazon,AllSmall,ii,595.0,738.3775446834907
amazon,AllSmall,ii,575.0,792.5475167225642
amazon,AllSmall,ii,581.0,918.3650393510256
amazon,AllSmall,ii,560.0,1017.7641532555556
amazon,AllSmall,ii,587.0,1000.9034789070193
amazon,AllSmall,ii,577.0,795.6026740061209
amazon,AllSmall,ii,580.0,1317.4426165125492
amazon,AllSmall,ii,588.0,708.0057802284466
amazon,AllSmall,ii,595.0,851.5456577306993
amazon,AllSmall,ii,560.0,783.8687238232052
amazon,AllSmall,ii,581.0,972.786114925
amazon,AllSmall,ii,596.0,868.5648289224528
amazon,AllSmall,ii,612.0,990.0539305258252
amazon,AllSmall,ii,600.0,1164.8444358711538
amazon,AllSmall,ii,593.0,780.3096542568239
amazon,AllSmall,ii,588.0,973.3019803700327
amazon,AllSmall,ii,588.0,1006.1047666832461
amazon,AllSmall,ii,571.0,866.898364338469
amazon,AllSmall,ii,573.0,1008.5617863677263
amazon,AllSmall,ii,594.0,887.8349631528048
amazon,AllSmall,ii,592.0,853.1369169388888
amazon,AllSmall,ii,593.0,1020.6390608269231
amazon,AllSmall,ii,609.0,867.1225554296226
amazon,AllSmall,ii,591.0,935.8077955644549
amazon,AllSmall,ii,551.0,1112.0995794769935
amazon,AllSmall,ii,588.0,974.6025127630032
amazon,AllSmall,ii,604.0,917.023735396934
amazon,AllSmall,ii,595.0,599.5787236443232
amazon,AllSmall,ii,580.0,825.678654468889
amazon,AllSmall,ii,597.0,908.1028297266668
amazon,AllSmall,ii,605.0,824.6564414534129
amazon,AllSmall,ii,604.0,996.177723850162
amazon,AllSmall,ii,569.0,974.4604370370273
amazon,AllSmall,ii,550.0,1304.9762297001632
amazon,AllSmall,ii,585.0,1105.6565489438872
amazon,AllSmall,ii,591.0,876.7036348117769
amazon,AllSmall,ii,607.0,939.4555355294175
amazon,AllSmall,ii,585.0,1108.8042943166038
amazon,AllSmall,ii,577.0,662.0855855930845
amazon,AllSmall,ii,574.0,1257.0386233514007
amazon,AllSmall,ii,587.0,936.8588580355555
amazon,AllSmall,ii,544.0,949.0402967508169
amazon,AllSmall,ii,577.0,1084.2375416400002
amazon,AllSmall,ii,581.0,889.0406210413222
amazon,AllSmall,ii,582.0,1016.5881251837615
amazon,AllSmall,ii,578.0,934.694233707584
amazon,AllSmall,ii,569.0,889.2983875767925
amazon,AllSmall,ii,574.0,1059.037162944902
amazon,AllSmall,ii,538.0,1226.5227743493278
amazon,AllSmall,ii,544.0,1032.7645222717308
amazon,AllSmall,ii,567.0,1124.0980734757766
amazon,AllSmall,ii,557.0,907.1346098474756
amazon,AllSmall,ii,574.0,885.0037495739394
amazon,AllSmall,ii,581.0,1034.0351144714052
amazon,AllSmall,ii,604.0,809.3661981442858
amazon,AllSmall,ii,559.0,961.2563778318932
amazon,AllSmall,ii,555.0,1071.440741204091
amazon,AllSmall,ii,564.0,758.7148402859478
amazon,AllSmall,ii,619.0,800.9720685850654
amazon,AllSmall,ii,558.0,769.0924502587394
amazon,AllSmall,ii,600.0,906.1078464678831
amazon,AllSmall,ii,562.0,790.9991652555041
amazon,AllSmall,ii,594.0,750.1545786131745
amazon,AllSmall,ii,566.0,1084.7335971267423
amazon,AllSmall,ii,571.0,1022.9006345610867
amazon,AllSmall,ii,546.0,1401.3724898038834
amazon,AllSmall,ii,556.0,1301.8440198401515
amazon,AllSmall,ii,573.0,929.6398791401328
amazon,AllSmall,ii,606.0,790.6865795872762
amazon,AllSmall,ii,551.0,1000.5286402463465
amazon,AllSmall,ii,558.0,806.2941819227244
amazon,AllSmall,ii,565.0,927.2979931629451
amazon,AllSmall,ii,595.0,847.8534665801233
amazon,AllSmall,ii,598.0,906.5591865755684
amazon,AllSmall,ii,569.0,1079.3483805054054
amazon,AllSmall,ii,579.0,1174.4588917690578
amazon,AllSmall,ii,576.0,1018.6041575208045
amazon,AllSmall,ii,591.0,966.6217779107142
amazon,AllSmall,ii,544.0,798.9107331956018
amazon,AllSmall,ii,574.0,919.0424399742928
amazon,AllSmall,ii,557.0,973.8983119098184
amazon,AllSmall,ii,630.0,945.1101823128105
amazon,AllSmall,ii,591.0,1091.8461876666668
amazon,AllSmall,ii,531.0,1063.0925205994697
amazon,AllSmall,ii,593.0,786.1856974777451
amazon,AllSmall,ii,605.0,942.6933461922903
amazon,AllSmall,ii,573.0,1130.3252653024326
amazon,AllSmall,ii,582.0,946.651320954195
amazon,AllSmall,ii,582.0,1006.7226303191565
amazon,AllSmall,ii,589.0,917.8376939870085
amazon,AllSmall,ii,550.0,970.8956053304854
amazon,AllSmall,ii,528.0,755.4546066575951
amazon,AllSmall,ii,595.0,786.4582123248866
amazon,AllSmall,ii,561.0,955.6713605644804
amazon,AllSmall,ii,554.0,862.1825421728431
amazon,AllSmall,ii,565.0,881.9378419230775
amazon,AllSmall,ii,560.0,818.1042687616513
amazon,AllSmall,ii,576.0,651.8306492871096
amazon,AllSmall,ii,592.0,999.1781049549019
amazon,AllSmall,ii,567.0,1039.19773375873
amazon,AllSmall,ii,565.0,1029.4887701777777
amazon,AllSmall,ii,555.0,991.2075809981653
amazon,AllSmall,ii,590.0,840.1646142331945
amazon,AllSmall,ii,560.0,795.6824265014706
amazon,AllSmall,ii,594.0,950.2823295922549
amazon,AllSmall,ii,581.0,1141.436844549808
amazon,AllSmall,ii,560.0,1195.5535186666343
amazon,AllSmall,ii,520.0,973.5484824397088
amazon,AllSmall,ii,583.0,821.4493684316633
amazon,AllSmall,ii,588.0,681.7878542222221
amazon,AllSmall,ii,606.0,952.3480860815984
amazon,AllSmall,ii,558.0,1224.4105604421989
amazon,AllSmall,ii,564.0,897.363966365874
amazon,AllSmall,ii,587.0,854.7911745335296
amazon,AllSmall,ii,602.0,864.3071758703438
amazon,AllSmall,ii,547.0,1025.173250998718
amazon,AllSmall,ii,552.0,994.2847737530097
amazon,AllSmall,ii,579.0,908.2078089595792
amazon,AllSmall,ii,586.0,964.915414203987
amazon,AllSmall,ii,615.0,1119.8936556660476
amazon,AllSmall,ii,566.0,901.7585287714223
amazon,AllSmall,ii,576.0,1304.6149492166667
amazon,AllSmall,ii,548.0,1019.7002067545751
amazon,AllSmall,ii,582.0,1149.5886060111463
amazon,AllSmall,ii,555.0,963.088751756288
amazon,AllSmall,ii,608.0,797.2224094143254
amazon,AllSmall,ii,551.0,942.5333261065359
amazon,AllSmall,ii,589.0,940.93076965
amazon,AllSmall,ii,627.0,881.898634316478
amazon,AllSmall,ii,568.0,970.4614774698414
amazon,AllSmall,ii,578.0,884.1036002614414
amazon,AllSmall,ii,575.0,893.0531428066038
amazon,AllSmall,ii,590.0,666.8554467203086
amazon,AllSmall,ii,569.0,1079.5324074145099
amazon,AllSmall,ii,541.0,1001.191445547059
amazon,AllSmall,ii,567.0,920.858174688562
amazon,AllSmall,ii,576.0,838.6900498667032
